,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
148,7,9,12,1,0.7695095291938888,6,7,11,10,0.9849784461995947,4,7,9,12,0.5789454076021878,4,6,7,11,0.8806969716754048,6,7,1,12,0.9635893855484816,8,10,11,12,0.8841149400198002,6,8,10,11,0.9903961691887038
149,10,13,4,6,0.08733477564063996,8,10,11,7,0.9317008741796841,6,5,4,1,0.10928275553961697,6,12,5,1,0.5881476469734719,1,7,10,9,0.7849415384115394,6,7,8,10,0.9783694458768312,6,8,12,7,0.9829139277793638
150,7,12,2,11,0.7720061182230127,12,13,7,8,0.7600757222435571,1,4,6,8,0.908785135467955,7,8,9,10,0.851141827868486,1,6,7,8,0.9808797184580252,6,8,12,7,0.9849798060888291,6,8,11,12,0.9737585074744296
151,8,12,13,10,0.6898576793464265,7,8,1,3,0.6980878619760313,1,4,7,8,0.9016616638896129,1,6,12,7,0.9557408693843735,4,6,10,11,0.817158374262584,4,6,10,7,0.8536425880804923,6,7,10,11,0.9821379213629229
152,1,9,12,5,0.16864775838863655,7,11,8,4,0.8906265677759453,6,11,5,1,0.5411615288271566,4,7,12,8,0.9214550180694903,6,7,8,10,0.9754166449171742,6,7,12,5,0.6436308881613351,1,6,7,10,0.9800722370688716
153,6,9,8,2,0.4436847815772583,1,7,8,5,0.7201426676984841,1,11,7,2,0.7740954294435465,6,10,12,7,0.9826452736135504,7,8,10,11,0.9260086715322419,6,7,10,11,0.9908717440800586,6,8,11,13,0.6620052326710184
154,1,5,6,4,0.18179706390263373,6,13,9,11,0.15064622063669697,8,10,13,12,0.6961641256177526,6,8,10,2,0.8030909918797475,6,12,7,8,0.9820329488843592,7,12,8,4,0.9196440394301397,8,7,10,1,0.9584202485747936
155,1,2,4,5,-0.45635140685129283,1,3,10,9,0.08231193822467975,6,11,10,8,0.9908742246657902,7,6,12,8,0.9863195332760464,6,8,12,10,0.9823862442642703,6,8,12,10,0.9836153415543477,11,8,12,6,0.975298457335455
156,1,11,8,7,0.8920897109964966,5,6,9,10,0.05232924940043693,1,6,10,12,0.9568176225692926,6,1,8,13,0.7144717049265148,6,7,8,11,0.9932770861935375,6,12,4,1,0.8583567498214246,6,8,10,12,0.9836748577790695
157,2,8,12,1,0.7763130648148403,7,8,12,1,0.8426628415361189,1,6,7,10,0.9725655145179595,1,7,8,4,0.8970569260335949,2,10,11,6,0.7709065499199679,1,6,8,10,0.9817137982737739,6,7,10,12,0.9840467523260765
158,6,7,4,11,0.8646226242884021,4,6,7,8,0.9271415685737776,11,7,6,9,0.8516682705371035,12,7,1,6,0.9592433964553873,7,12,8,5,0.7036029878535426,7,10,12,1,0.9110718726791824,6,7,11,12,0.9543951968914642
159,4,8,13,6,0.2941675481742456,7,8,11,5,0.6681290078418638,1,8,6,13,0.6706130815418894,8,4,1,7,0.8962794916521721,12,6,8,9,0.858084764504609,6,8,10,12,0.9826887817705211,6,8,10,12,0.9824983549414398
160,4,12,13,7,0.3557988360943857,8,9,12,6,0.8726538856381234,6,8,10,11,0.9872903314650986,1,6,7,10,0.9793400986969855,1,6,7,8,0.9814406698663718,8,9,10,12,0.8198913723248439,1,6,12,11,0.9091212080692038
161,3,7,4,9,-0.40846764094896515,8,9,4,7,0.6357574280405889,4,1,6,10,0.8358706171627004,1,7,11,9,0.7416599338338153,1,6,7,10,0.982557212578383,7,10,9,6,0.8185067323196744,1,6,7,8,0.9790757508730266
162,7,12,11,13,0.6353896758789072,2,8,10,13,0.2344368963161596,1,13,12,6,0.6153478692965898,7,9,11,12,0.7415529987939409,1,6,7,8,0.9793204682453698,10,11,12,8,0.8692357571898506,6,10,1,7,0.9828642218456944
163,7,8,5,9,0.34030758846399245,9,10,11,8,0.7853009204839242,9,11,8,10,0.8041063232909278,1,8,12,7,0.8569281591214729,1,6,11,7,0.9526844422630105,1,8,10,11,0.8958560929369781,6,7,11,12,0.9596079778819008
164,4,12,8,9,0.5879381416101379,2,8,10,12,0.8121742680187056,1,6,10,11,0.9521097391115394,8,9,10,12,0.8263965711512347,7,8,12,11,0.8390152789049041,6,10,11,7,0.9876976894844016,6,7,10,12,0.9861374672929405
165,1,6,11,8,0.9674018492916621,6,8,11,1,0.9698702573503127,1,7,10,11,0.8769892182504745,7,8,12,1,0.8751604892114774,1,6,7,10,0.983882270175444,6,7,8,12,0.9832318362688577,1,8,10,12,0.9192696434268423
166,8,1,11,13,0.6459212455698418,1,7,10,11,0.8590353586671348,7,10,11,5,0.5658435609227277,6,7,12,3,0.6526936681102324,1,6,7,8,0.979285241073624,4,6,7,8,0.9192158098080943,6,8,10,12,0.978942185967958
167,7,8,12,13,0.7526521176063705,10,12,6,8,0.979695626109973,4,7,11,12,0.8121472870502238,6,7,10,12,0.9856601811698141,1,10,12,6,0.9586317036700468,6,7,8,11,0.9911260954971154,6,7,12,13,0.6891700550043902
168,7,9,13,11,0.25596594061755307,1,11,12,7,0.7805590806005133,1,12,10,7,0.8925323323669466,4,10,11,12,0.7532539942554011,6,8,11,12,0.9748428563425646,8,10,7,9,0.8434639704577152,1,6,8,12,0.9631898640297644
169,7,10,12,5,0.6369473414619645,1,2,5,6,0.20953090131057583,1,6,8,11,0.9747731283209208,7,6,11,10,0.9839923262787029,6,10,12,1,0.9510818289559272,1,6,7,8,0.9782204544101287,6,11,10,4,0.820587369006632
170,2,9,8,12,0.4568795658917819,8,13,9,12,0.3357903996925671,4,6,1,2,0.5309055006441504,1,7,3,10,0.6165793888088231,10,11,6,4,0.8210024628792286,1,7,10,12,0.8952879410332544,12,7,10,8,0.9141310298318188
