,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
194,194,10,12,16,24,-0.5054053865558483,3,7,9,13,0.7194406428296112,6,7,8,19,0.0400214180994478,5,6,28,17,0.1587068233580351,17,12,1,30,-1.3208111687672195,1,7,13,18,0.1708098627260103,9,16,25,28,0.700979245840528,13,26,30,9,-0.3755858808846322,1,7,9,13,0.7667335566727198,1,7,9,13,0.7667335566727198,9,13,1,6,0.8344815809345432
195,195,11,18,19,20,-0.2866687300340169,19,24,22,28,0.2118052364849902,1,2,5,6,0.8221093158175409,6,7,9,17,-0.3568449626507641,17,19,24,26,-1.2169242057898997,6,7,16,23,-1.3973788502129412,1,9,18,30,0.0810725843200426,1,5,7,9,0.7697512589044357,5,10,15,19,0.6056600281129398,1,9,17,18,0.1989360353997884,9,13,1,6,0.8337630846113432
196,196,3,24,28,29,0.940705772442228,5,6,14,16,-0.2645268192413716,9,11,15,18,0.6921516683562132,9,13,26,30,-0.3711236956110351,1,18,19,20,0.0211473741821177,1,9,13,15,0.8813906477099555,1,24,29,17,0.4162694589305358,5,6,9,19,0.6558527750746408,6,13,16,17,-0.4238433505294279,1,13,19,28,0.7840087946501404,9,13,1,6,0.8351617972025094
197,197,2,9,14,19,0.6399816183186093,9,10,16,21,0.5472633241729632,4,7,18,23,-0.5113850135053544,7,9,13,17,0.2744054360170922,8,9,17,18,0.3094020069312257,1,8,15,16,0.7685895521142495,1,6,17,18,-0.5677730936832148,13,16,19,23,-0.1503093574028617,1,6,9,13,0.8341736373921796,6,7,19,20,-0.6055813591248025,9,13,1,6,0.8341736373921796
198,198,7,13,14,26,-0.5699040248110068,4,9,10,13,0.8762572586942659,6,16,1,3,0.3389907120739314,6,10,13,16,-0.1669399775725797,1,5,6,7,0.3033145814605545,6,7,9,11,0.1715201593238005,7,13,18,23,-0.5528480341443929,9,18,24,10,0.2920892241623725,1,5,7,17,0.0079589197042237,1,5,6,9,0.8420530796746735,9,13,1,6,0.8344750704742543
199,199,6,19,10,20,-0.4835172933034237,14,20,24,30,-0.8103405022994157,6,11,12,13,0.0913739810760995,9,18,19,23,-0.1048795657464507,7,13,16,17,-0.6050361888243372,1,5,9,18,0.7693625905591207,17,28,13,19,0.2515843198073804,6,7,9,16,-0.2211639816372865,6,13,17,19,-0.1855980626050077,1,7,9,13,0.7680714159976194,9,13,1,6,0.8356734349552373
200,200,7,8,10,19,0.0181347177111635,6,7,8,9,0.4978854844232703,6,7,9,10,-0.1157197540989274,6,8,13,17,0.2952571267367747,1,9,13,18,0.7733017740450299,1,9,17,19,0.3691823201733832,1,6,9,28,0.814535537907723,6,7,13,17,-0.4681341075191134,1,9,14,17,0.2610601749497254,1,7,9,13,0.7678619756563971,9,13,1,6,0.8347876581814708
201,201,1,14,18,24,0.1066212759646541,14,28,5,23,0.2262258234325845,8,9,13,24,0.9128713583481254,1,29,17,30,-0.6429099780054335,1,7,9,16,0.3111467600421866,5,6,13,18,0.3820748418862552,6,16,19,21,0.1462152275598007,1,6,7,9,0.411917591378896,1,5,17,18,-0.0047658261937486,1,7,9,17,0.1822609664187758,9,13,1,6,0.8355507782032581
202,202,2,13,25,30,0.3530249031228254,2,7,12,16,-0.4223581237373415,1,10,16,19,-0.0561237162236283,9,17,24,29,0.5401635419599906,1,5,6,13,0.8099950762783957,6,9,19,24,0.5482235938410783,1,7,18,30,-0.9390659278981336,13,17,21,25,0.6154417589283894,5,9,13,17,0.6837616917245563,1,6,13,30,0.0883756186046703,9,13,1,6,0.8353613618410511
203,203,6,7,15,17,-0.4466702713152688,1,20,3,30,-0.0431473923359233,1,6,16,19,-0.021722379630952,3,13,1,14,0.7252292709078528,1,9,19,24,0.8220330686654582,13,17,30,28,-0.5320808469211344,1,7,29,28,0.7378596814393261,5,6,7,13,0.3705562148201237,1,18,16,6,-0.4112552365040791,6,7,8,9,0.4929037668748236,9,13,1,6,0.8355136616248251
